EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
1741005;0;GR;3901;Chur;Schönmattweg;6;7000;0;Chur;2758992.19;1191782.98;de
1741006;0;GR;3901;Chur;Schönmattweg;7;7000;0;Chur;2758982.323;1191812.806;de
1741007;0;GR;3901;Chur;Schönmattweg;8;7000;0;Chur;2759011.179;1191794.4;de
1741008;0;GR;3901;Chur;Schönmattweg;9;7000;0;Chur;2758998.535;1191821.398;de
1741009;0;GR;3901;Chur;Schönmattweg;10;7000;0;Chur;2759031.059;1191806.055;de
1741010;0;GR;3901;Chur;Schönmattweg;11;7000;0;Chur;2759016.641;1191830.358;de
1741011;0;GR;3901;Chur;Badusstrasse;5;7000;0;Chur;2759113.129;1191444.097;de
1741012;0;GR;3901;Chur;Badusstrasse;7;7000;0;Chur;2759096.235;1191432.757;de
1741013;0;GR;3901;Chur;Badusstrasse;8;7000;0;Chur;2759075.49;1191466.521;de
1741014;0;GR;3901;Chur;Badusstrasse;10;7000;0;Chur;2759055.171;1191432.637;de
1741015;0;GR;3901;Chur;Badusstrasse;11;7000;0;Chur;2759066.38;1191409.151;de
1741016;0;GR;3901;Chur;Scalettastrasse;4;7000;0;Chur;2759279.234;1191363.15;de
1741017;0;GR;3901;Chur;Scalettastrasse;15;7000;0;Chur;2759190.259;1191397.445;de
1741018;0;GR;3901;Chur;Scalettastrasse;19;7000;0;Chur;2759172.33;1191415.784;de
1741019;0;GR;3901;Chur;Scalettastrasse;21;7000;0;Chur;2759152.333;1191438.653;de
1741020;0;GR;3901;Chur;Scalettastrasse;29;7000;0;Chur;2759105.678;1191492.252;de
1741021;0;GR;3901;Chur;Scalettastrasse;26;7000;0;Chur;2759137.911;1191510.457;de
1741022;0;GR;3901;Chur;Scalettastrasse;30;7000;0;Chur;2759117.232;1191533.297;de
1741024;0;GR;3901;Chur;Scalettastrasse;33;7000;0;Chur;2759070.448;1191537.812;de
1741025;0;GR;3901;Chur;Scalettastrasse;38;7000;0;Chur;2759078.297;1191577.333;de
1741027;0;GR;3901;Chur;Scalettastrasse;42;7000;0;Chur;2759089.031;1191611.928;de
1741028;0;GR;3901;Chur;Scalettastrasse;44;7000;0;Chur;2759069.263;1191603.441;de
1741029;0;GR;3901;Chur;Scalettastrasse;47;7000;0;Chur;2759006.922;1191595.059;de
1741031;0;GR;3901;Chur;Scalettastrasse;60;7000;0;Chur;2758957.745;1191728.081;de
1741032;0;GR;3901;Chur;Scalettastrasse;61;7000;0;Chur;2758877.561;1191714.721;de
1741033;0;GR;3901;Chur;Scalettastrasse;62;7000;0;Chur;2758934.096;1191746.785;de
1741034;0;GR;3901;Chur;Scalettastrasse;63;7000;0;Chur;2758913.935;1191733.099;de
1741035;0;GR;3901;Chur;Scalettastrasse;64;7000;0;Chur;2758916.415;1191773.529;de
1741036;0;GR;3901;Chur;Blumenweg;1;7000;0;Chur;2759051.546;1191618.304;de
1741037;0;GR;3901;Chur;Blumenweg;2;7000;0;Chur;2759079.849;1191630.184;de
1741038;0;GR;3901;Chur;Blumenweg;3;7000;0;Chur;2759046.046;1191633.662;de
1741039;0;GR;3901;Chur;Blumenweg;4;7000;0;Chur;2759070.79;1191643.781;de
1741040;0;GR;3901;Chur;Blumenweg;5;7000;0;Chur;2759031.358;1191648.159;de
1741041;0;GR;3901;Chur;Blumenweg;6;7000;0;Chur;2759065.631;1191657.993;de
1741042;0;GR;3901;Chur;Blumenweg;7;7000;0;Chur;2759022.598;1191661.812;de
1741043;0;GR;3901;Chur;Blumenweg;8;7000;0;Chur;2759048.227;1191671.604;de
1741044;0;GR;3901;Chur;Blumenweg;9;7000;0;Chur;2759017.495;1191673.746;de
1741045;0;GR;3901;Chur;Blumenweg;10;7000;0;Chur;2759038.913;1191685.301;de
1741046;0;GR;3901;Chur;Blumenweg;11;7000;0;Chur;2758998.827;1191685.565;de
1741047;0;GR;3901;Chur;Blumenweg;12;7000;0;Chur;2759034.354;1191698.947;de
1741048;0;GR;3901;Chur;Blumenweg;14;7000;0;Chur;2759020.402;1191712.841;de
1741049;0;GR;3901;Chur;Lerchenweg;1;7000;0;Chur;2758947.393;1191688.645;de
1741050;0;GR;3901;Chur;Lerchenweg;3;7000;0;Chur;2758933.073;1191679.997;de
1741051;0;GR;3901;Chur;Lerchenweg;4;7000;0;Chur;2758913.435;1191701.072;de
1741052;0;GR;3901;Chur;Lerchenweg;5;7000;0;Chur;2758916.022;1191669.646;de
1741053;0;GR;3901;Chur;Lerchenweg;7;7000;0;Chur;2758895.364;1191694.01;de
1741054;0;GR;3901;Chur;Sonnenweg;1;7000;0;Chur;2758960.487;1191724.375;de
1741055;0;GR;3901;Chur;Sonnenweg;2;7000;0;Chur;2758966.098;1191706.481;de
1741056;0;GR;3901;Chur;Sonnenweg;4;7000;0;Chur;2758975.479;1191712.218;de
1741057;0;GR;3901;Chur;Sonnenweg;5;7000;0;Chur;2758966.787;1191742.094;de
1741058;0;GR;3901;Chur;Sonnenweg;6;7000;0;Chur;2758994.86;1191723.171;de
1741059;0;GR;3901;Chur;Sonnenweg;7;7000;0;Chur;2758975.237;1191745.93;de
1741060;0;GR;3901;Chur;Sonnenweg;8;7000;0;Chur;2759001.112;1191715.587;de
1741061;0;GR;3901;Chur;Sonnenweg;9;7000;0;Chur;2758990.939;1191756.867;de
1741062;0;GR;3901;Chur;Sonnenweg;10;7000;0;Chur;2759000.975;1191736.828;de
1741063;0;GR;3901;Chur;Sonnenweg;11;7000;0;Chur;2758994.886;1191759.271;de
1741064;0;GR;3901;Chur;Sonnenweg;12;7000;0;Chur;2759009.966;1191742.297;de
1741065;0;GR;3901;Chur;Sonnenweg;14;7000;0;Chur;2759024.231;1191751.206;de
1741066;0;GR;3901;Chur;Sonnenweg;15;7000;0;Chur;2759012.406;1191769.886;de
1741067;0;GR;3901;Chur;Sonnenweg;16;7000;0;Chur;2759033.55;1191756.709;de
1741068;0;GR;3901;Chur;Sonnenweg;17;7000;0;Chur;2759022.307;1191775.897;de
1741071;0;GR;3901;Chur;Oberalpstrasse;16;7000;0;Chur;2759127.976;1191391.358;de
1741072;0;GR;3901;Chur;Oberalpstrasse;17;7000;0;Chur;2759101.975;1191365.436;de
