Grundstueck-Nummer;EGID;Gebaeude-Koordinate X;Gebaeude-Koordinate Y;Gebaeude-Baujahr;Gebaeude-Kategorie;Gebaeude-Klasse-Nummer;Gebaeude-Klasse;Gebaeude-Flaeche;Gebaeude-Geschosse;Gebaeude-Strasse;Gebaeude-Hausnummer;Gebaeude-PLZ;Gebaeude-Ort
1764;001 739 400;2758845;1190923;1901;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;92;3;Kettweg;8;7000;Chur
1869;191 204 837;2758393;1191136;2016;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen; ;5;Pulvermühlestrasse;34;7000;Chur
20687;001 210 517;2761752;1189391; ;   ;Anz. separate Wohnräume;  ; ;2;Dorfstrasse;30;7026;Maladers
4899;001 739 372;2758712;1190824;1959;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;110;3;Salvatorenstrasse;52;7000;Chur
7261;009 021 636;2760625;1188709;1995;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;88 1;Gebäude mit zwei Wohnungen;2;Kronenhofweg;18;7000;Chur
3448;001 740 869;2759054;1191301;1932;59 1;Anz. separate Wohnräume;1 ;59;2;Nelkenweg;1;7000;Chur
6486;001 740 699;2760928;1191888;1985;91 2;Anz. separate Wohnräume;2 ;91;3;Teuchelweg;53a;7000;Chur
5788;001 741 587;2758306;1192239;1975;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;956;8;Austrasse;24;7000;Chur
3826;001 738 722;2759458;1190925;1994;979 0;Anz. separate Wohnräume;0 ;979;6;Stadtgartenweg;6;7000;Chur
3754;001 740 841;2759266;1191383;1936;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;139;3;Daleustrasse;21;7000;Chur
3521;400 017 579;2759323;1191856;1954;Sonstige Hochbauten, anderweitig  nicht genannt;1274;nicht genannt 436; ;3;Calandastrasse;62c;7000;Chur
0;190 654 648;2757832;1190503;2011;14304  ;Anz. separate Wohnräume;  ;14304;2;Raschärenstrasse;37;7000;Chur
1786;001 739 428;2758525;1191203;1986;194  ;Anz. separate Wohnräume;  ;194;2;Güterstrasse;13;7000;Chur
5489;001 741 593;2758413;1192181;1974;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;351;16;Sardonastrasse;5;7000;Chur
3557;001 740 855;2759022;1191112;1890;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;78  ;Gebäude mit zwei Wohnungen;3;Rheinstrasse;21;7000;Chur
3466;001 738 736;2759755;1191184;1955;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen 535; ;6;Quaderstrasse;23;7000;Chur
3657;009 001 257;2759047;1191379;1933;125 1;Anz. separate Wohnräume;1 ;125;3;Tödistrasse;1;7000;Chur
5060;001 741 578;2758450;1192024;1971;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;468;7;Giacomettistrasse;37;7000;Chur
6616;001 740 666;2760447;1192607;1988;97  ;Anz. separate Wohnräume;  ;97;3;Ruchenbergstrasse;63;7000;Chur
1509;001 738 905;2759131;1190964;1900;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;147;5;Gäuggelistrasse;53;7000;Chur
4809;001 740 100;2760451;1192457;1960;137  ;Anz. separate Wohnräume;  ;137;3;Prasserieweg;12;7000;Chur
6675;400 017 586;2759790;1193801;2008;112  ;Anz. separate Wohnräume;  ;112;2;Dammweg;1;7000;Chur
10766;400 017 592;2759763;1193908;2003;134  ;Anz. separate Wohnräume;  ;134;2;Dammweg;102;7000;Chur
4819;191 635 174;2759927;1192528;2018;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;245;4;Carmennaweg;7;7000;Chur
5506;001 740 114;2760289;1192622;1970;138  ;Anz. separate Wohnräume;  ;138;2;Tellostrasse;7;7000;Chur
3996;001 738 911;2759348;1191139;1942;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;1270;5;Engadinstrasse;8;7000;Chur
6556;001 740 672;2760403;1192555;1990;105  ;Anz. separate Wohnräume;  ;105;4;Ruchenbergstrasse;75;7000;Chur
;009 001 243;2759901;1191104;1995;876 2;Anz. separate Wohnräume;2 ;876;6;Steinbruchstrasse;12;7000;Chur
1286;001 741 544;2758184;1192144;1957;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;581;4;Austrasse;18;7000;Chur
4049;001 740 882;2758992;1191315;1938;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;534;4;Tödistrasse;9;7000;Chur
2726;191 218 239;2758605;1191711;2015;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;230;4;Rheinstrasse;115;7000;Chur
9843;090 001 748;2759870;1191737;2001;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;171;4;Sonnenbergstrasse;8;7000;Chur
1765;001 739 399;2758837;1190910;1906;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;95;4;Kettweg;6;7000;Chur
3913;001 741 222;2758642;1191348;1946;69 1;Anz. separate Wohnräume;1 ;69;2;Fliederweg;21;7000;Chur
9029;001 740 128;2760229;1192606;1970;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;186 2;Gebäude mit zwei Wohnungen;2;Arlibonstrasse;33;7000;Chur
1350;001 741 236;2758682;1191255;1978;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;313;3;Untere Plessurstrasse;56;7000;Chur
3273;191 415 234;2759158;1191482;1920;47  ;Anz. separate Wohnräume;  ;47;1;Scalettastrasse;24;7000;Chur
3697;001 740 896;2759338;1191438;1934;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;128;3;Tittwiesenstrasse;1;7000;Chur
2759;001 739 164;2760768;1188592; ;68  ;Anz. separate Wohnräume;  ;68;3;Araschgerstrasse;102;7000;Chur
3209;400 017 747;2759644;1190788;1800;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen  ; ;5;Rathausgasse;8;7000;Chur
5804;009 001 096;2757768;1191574;1980;628 1;Anz. separate Wohnräume;1 ;628;2;Industriestrasse;11;7000;Chur
5757;001 739 602;2759680;1192789;1974;204  ;Anz. separate Wohnräume;  ;204;1;Schellenbergstrasse;38;7000;Chur
6419;001 741 961;2758519;1191884;1984;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;528;4;Rheinstrasse;138;7000;Chur
0;001 738 508;2759558;1190752;1850;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen 305; ;6;Herrengasse;4;7000;Chur
10339;190 013 200;2759799;1194008;2002;135  ;Anz. separate Wohnräume;  ;135;2;Dammweg;68;7000;Chur
5785;001 739 616;2759699;1192785;1974;233  ;Anz. separate Wohnräume;  ;233;1;Schellenbergstrasse;52;7000;Chur
1559;009 001 082;2759666;1191170;1910;373  ;Anz. separate Wohnräume;  ;373;5;Hartbertstrasse;1;7000;Chur
4614;400 017 753;2759074;1192712;1962;145  ;Anz. separate Wohnräume;  ;145;3;Rheinmühleweg;63;7000;Chur
6544;001 739 170;2760314;1189501;1986;98 1;Anz. separate Wohnräume;1 ;98;2;Bühlweg;35;7000;Chur
2598;001 739 158;2760451;1189122;1920;55  ;Anz. separate Wohnräume;  ;55;2;Araschgerstrasse;51;7000;Chur
3140;001 738 520;2759637;1190720;1962;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;543;6;Majorangasse;6;7000;Chur
4913;001 741 785;2759030;1192029;1960;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;270;4;Heidiweg;2;7000;Chur
2994;001 738 534;2759697;1190663; ;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;115;7;Bärenloch;11;7000;Chur
5076;001 741 791;2759056;1191962;1962;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;275;4;Guschaweg;2;7000;Chur
4176;001 741 949;2758662;1191882;1986;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;416;6;Huberstrasse;1;7000;Chur
1794;400 017 784;2758393;1190898;1964;   ;Anz. separate Wohnräume;  ; ;4;Salvatorenstrasse;88;7000;Chur
12604;191 204 348;2759497;1192736;2015;137  ;Anz. separate Wohnräume;  ;137;2;Wiesentalstrasse;242;7000;Chur
3877;001 740 302;2760015;1192133;1940;91  ;Anz. separate Wohnräume;  ;91;2;Vilanstrasse;6;7000;Chur
4225;001 740 464;2759888;1192296;1948;121  ;Anz. separate Wohnräume;  ;121;2;Weinbergstrasse;16;7000;Chur
4774;001 739 819;2760158;1191481;1959;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;337;4;Loëstrasse;38;7000;Chur
5230;009 001 055;2758255;1191500;1992;796  ;Anz. separate Wohnräume;  ;796;7;Felsenaustrasse;25;7000;Chur
7631;003 156 624;2760040;1193553;2002;60  ;Anz. separate Wohnräume;  ;60;3;Cadonaustrasse;115;7000;Chur
8993;090 001 562;2759031;1190693;2001;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;622;5;Sägenstrasse;77;7000;Chur
4972;003 156 630;2759999;1193341;1993;856 2;Anz. separate Wohnräume;2  ;856;Druckdatum:;Cadonaustrasse;69b;7000;Chur
3875;001 740 470;2759912;1192365;1939;66  ;Anz. separate Wohnräume;  ;66;3;Kreuzgasse;63;7000;Chur
10068;001 741 008;2759001;1191819;1944;91  ;Anz. separate Wohnräume;  ;91;2;Schönmattweg;9;7000;Chur
4402;001 740 316;2760180;1192228;1961;155  ;Anz. separate Wohnräume;  ;155;2;Calunastrasse;19;7000;Chur
11535;160 011 304;2759773;1192667;2007;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;308;5;Schellenbergstrasse;10;7000;Chur
1126;400 017 790;2758476;1192163;1999;Schul- und Hochschulgebäude,  Forschungseinrichtungen;1263;Forschungseinrichtungen Anz. Geschosse; ; ;Sardonastrasse;4;7000;Chur
4727;001 741 020;2759102;1191491;1957;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;379;4;Scalettastrasse;29;7000;Chur
9597;190 010 084;2758847;1191158;2002;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;261;5;Segantinistrasse;13;7000;Chur
4197;160 006 650;2759936;1192353;2006;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;323;4;Kreuzgasse;61;7000;Chur
1424;009 001 069;2759524;1190890;1877;710  ;Anz. separate Wohnräume;  ;710;5;Grabenstrasse;30;7000;Chur
1110;003 156 618;2758740;1191950;1999;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;502;6;Scalettastrasse;93;7000;Chur
4220;001 740 458;2759851;1192263;1952;61  ;Anz. separate Wohnräume;  ;61;2;Weinbergstrasse;8;7000;Chur
4695;001 741 746;2758843;1191991;1957;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;97  ;Gebäude mit zwei Wohnungen;2;Wachtelweg;1;7000;Chur
;001 739 825;2760014;1191528;1900;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;132  ;Gebäude mit zwei Wohnungen;3;Falknisstrasse;6;7000;Chur
3436;001 739 831;2759977;1191593;1925;86  ;Anz. separate Wohnräume;  ;86;3;Falknisstrasse;21;7000;Chur
4696;001 741 752;2758820;1192048;1958;97  ;Anz. separate Wohnräume;  ;97;2;Wachtelweg;7;7000;Chur
10837;160 006 644;2759799;1193880;2005;70  ;Anz. separate Wohnräume;  ;70;2;Dammweg;20;7000;Chur
4778;001 741 034;2758910;1191731;1958;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;220;3;Scalettastrasse;63;7000;Chur
6548;001 739 010;2760538;1189309;1987;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;120 2;Gebäude mit zwei Wohnungen;2;Sassalstrasse;42a;7000;Chur
7014;009 021 554;2760236;1189600;1995;109  ;Anz. separate Wohnräume;  ;109;2;Bühlweg;64;7000;Chur
11887;400 017 633;2759577;1191548;2009;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;358;4;Gürtelstrasse;84;7000;Chur
1124;009 021 232;2758388;1191891;1991;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;755;3;Giacomettistrasse;26;7000;Chur
8075;003 156 793;2760600;1191682;1998;62  ;Anz. separate Wohnräume;  ;62;3;Bondastrasse;46f;7000;Chur
1104;001 741 815;2759115;1192063;1962;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;524;4;Tittwiesenstrasse;77;7000;Chur
3776;001 739 776;2760115;1192957;1929;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;62  ;Gebäude mit zwei Wohnungen;2;Cadonaustrasse;17;7000;Chur
20020;001 210 661;2761087;1189632; ;   ;Anz. separate Wohnräume;  ; ;3;Tumma;14;7026;Maladers
3053;001 738 468;2759479;1190746; ;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;181;4;Untere Gasse;22;7000;Chur
;001 739 762;2759773;1193749;1979;111  ;Anz. separate Wohnräume;  ;111;2;Stelleweg;59;7000;Chur
4391;001 741 801;2758986;1192044;1950;103  ;Anz. separate Wohnräume;  ;103;2;Dreibündenstrasse;25;7000;Chur
6746;009 021 226;2759694;1193653;1994;53  ;Anz. separate Wohnräume;  ;53;3;Stelleweg;31d;7000;Chur
8085;003 156 787;2760566;1191689;1999;62  ;Anz. separate Wohnräume;  ;62;3;Bondastrasse;42c;7000;Chur
1063;400 017 627;2759349;1191385;1949;28  ;Anz. separate Wohnräume;  ;28;1;Gürtelstrasse;39;7000;Chur
6384;001 739 004;2760650;1189261;1986;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;80  ;Gebäude mit zwei Wohnungen;2;Sassalstrasse;19;7000;Chur
6756;009 021 568;2759668;1193621;1996;53  ;Anz. separate Wohnräume;  ;53;3;Stelleweg;29h;7000;Chur
4084;001 741 197;2758708;1191497;1945;8  ;Anz. separate Wohnräume;  ;8;3;Distelweg;9;7000;Chur
1597;001 740 289;2760073;1192239;1922;85  ;Anz. separate Wohnräume;  ;85;3;Loëstrasse;126;7000;Chur
5178;001 741 829;2759200;1192094;1964;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;456;6;Belmontstrasse;4;7000;Chur
5341;001 739 992;2760616;1191892;1969;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;124  ;Gebäude mit zwei Wohnungen;2;Bondastrasse;65;7000;Chur
3056;001 738 454;2759455;1190739;1600;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen 139; ;5;Maltesergasse;2;7000;Chur
2764;001 739 986;2760472;1191826;1942;105  ;Anz. separate Wohnräume;  ;105;1;Höhenweg;5;7000;Chur
20031;001 210 649;2761385;1189480; ;   ;Anz. separate Wohnräume;  ; ;3;Tummiweg;4;7026;Maladers
3117;001 738 440;2759575;1190691;1610;89  ;Anz. separate Wohnräume;  ;89;5;Obere Gasse;22;7000;Chur
4658;001 741 183;2758648;1191494;1956;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;290;4;Heroldstrasse;44;7000;Chur
6231;001 739 038;2759606;1190496;1977;62  ;Anz. separate Wohnräume;  ;62;2;Hinterm Bach;18;7000;Chur
6972;009 021 597;2759389;1192452;1996;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;678;6;Giacomettistrasse;113;7000;Chur
5100;400 017 828;2759267;1191831;2009;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;281;5;Tittwiesenstrasse;58;7000;Chur
3626;001 740 276;2760172;1192027;1936;70  ;Anz. separate Wohnräume;  ;70;2;Traubenweg;12;7000;Chur
4855;001 741 168;2758750;1191201;1959;77  ;Anz. separate Wohnräume;  ;77;2;Spechtweg;8;7000;Chur
6141;001 740 510;2759992;1192699;1975;349  ;Anz. separate Wohnräume;  ;349;2;Carmennaweg;73;7000;Chur
3782;009 001 121;2759463;1190607; ;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen 148; ;6;Lindenquai;4;7000;Chur
20817;190 165 553;2761722;1189495;2001;196  ;Anz. separate Wohnräume;  ;196;3;Under Quadera;4;7026;Maladers
1563;009 001 135;2759850;1191603;1973;107  ;Anz. separate Wohnräume;  ;107;1;Masanserstrasse;60;7000;Chur
3555;001 739 979;2760523;1191763;1933;69  ;Anz. separate Wohnräume;  ;69;2;Bondastrasse;41;7000;Chur
6141;001 740 504;2759956;1192686;1974;279  ;Anz. separate Wohnräume;  ;279;2;Carmennaweg;63;7000;Chur
;001 740 262;2760176;1191916;1894;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;147  ;Gebäude mit zwei Wohnungen;3;Lochertstrasse;16;7000;Chur
6964;009 021 583;2760160;1191861;1995;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;155  ;Gebäude mit zwei Wohnungen;4;Meierweg;46;7000;Chur
1376;001 741 154;2758766;1191124;1907;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;131;4;Segantinistrasse;27;7000;Chur
12484;190 827 650;2759672;1193414;2014;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;282;4;Lichtensteinweg;3;7000;Chur
2506;400 017 814;2759324;1190598;1900;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;324;2;St. Margrethenstrasse;17;7000;Chur
1614;001 739 951;2760488;1191677;1910;76  ;Anz. separate Wohnräume;  ;76;3;Berggasse;55;7000;Chur
5476;001 741 632;2758575;1192341;1968;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;426;9;Scalettastrasse;139;7000;Chur
3130;001 738 497;2759596;1190765;1697;62 2;Anz. separate Wohnräume;2 ;62;5;Kornplatz;5;7000;Chur
5808;001 741 626;2758637;1192003;1974;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;999;7;Huberstrasse;10;7000;Chur
5095;001 739 945;2760464;1191623;1963;117  ;Anz. separate Wohnräume;  ;117;2;Berggasse;42;7000;Chur
3094;001 738 483;2759529;1190680;1633;187  ;Anz. separate Wohnräume;  ;187;5;Goldgasse;22;7000;Chur
6142;001 740 538;2760013;1192629;1973;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;110;3;Carmennaweg;38;7000;Chur
8935;009 001 109;2759164;1190583;1959;Gebäude des Verkehrs- und  Nachrichtenswesens ohne Garagen;1241;Nachrichtenswesens ohne Garagen 76;1;Druckdatum:;Kasernenstrasse;15;7000;Chur
;003 156 778;2760299;1192965;1896;  4;Anz. separate Wohnräume;4 1; ;Druckdatum:;Loëstrasse;224;7000;Chur
12758;191 050 831;2759725;1190538;2014;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;229;4;Bodmerstrasse;14;7000;Chur
3861;001 741 140;2758931;1191258;1945;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;124;3;Segantinistrasse;3;7000;Chur
4360;001 740 909;2759344;1191602;1950;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;386;4;Tittwiesenstrasse;24;7000;Chur
9560;003 156 591;2759153;1190911;2000;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;238;5;Obere Plessurstrasse;53;7000;Chur
1717;001 739 212;2759413;1190652;1800;1225  ;Anz. separate Wohnräume;  ;1225;5;Welschdörfli;2;7000;Chur
2499;001 739 206;2759373;1190608;1885;   ;Anz. separate Wohnräume;  ; ;3;St. Margrethenstrasse;10;7000;Chur
12129;191 726 915;2760317;1191962;2019;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;142  ;Gebäude mit zwei Wohnungen;3;Marschlinsweg;15;7000;Chur
7046;003 156 585;2758640;1192353;1997;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;532;6;Scalettastrasse;142;7000;Chur
10333;190 019 315;2759873;1192705;2003;112  ;Anz. separate Wohnräume;  ;112;2;Kantenstrasse;28;7000;Chur
3512;001 740 935;2759180;1191534;1938;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen 191; ;5;Nordstrasse;19;7000;Chur
2859;001 738 656;2759795;1190820;1700;60  ;Anz. separate Wohnräume;  ;60;4;Sennhofstrasse;10;7000;Chur
4308;001 739 548;2757349;1191290;1949;Gebäude für Kultur- und  Freizeitzwecke;1261;Freizeitzwecke 947; ;2;Pulvermühlestrasse;90;7000;Chur
4597;001 741 395;2758317;1191716;1954;163  ;Anz. separate Wohnräume;  ;163;2;Anemonenweg;8;7000;Chur
12128;191 612 454;2760317;1191994;2017;142  ;Anz. separate Wohnräume;  ;142;1;Marschlinsweg;17;7000;Chur
0;191 315 872;2760612;1191954;2016;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;533;2;Schützenweg;191315872;7000;Chur
5792;001 741 381;2758519;1191780;1977;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;332;3;Signinastrasse;5;7000;Chur
3029;001 738 642;2759709;1190757;1858;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;209;4;Reichsgasse;69;7000;Chur
3760;001 740 921;2759211;1191791;1986;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;1007;4;Tittwiesenstrasse;55;7000;Chur
3639;160 004 480;2759188;1191354;2005;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;552;5;Scalettastrasse;7;7000;Chur
10341;190 019 301;2759800;1193997;2002;86  ;Anz. separate Wohnräume;  ;86;2;Dammweg;64;7000;Chur
1650;001 738 871;2759181;1190954;1880;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;119;4;Laubenstrasse;6;7000;Chur
6113;001 740 712;2759641;1192265;1981;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;416;7;Saluferstrasse;31;7000;Chur
5372;191 813 384;2760799;1191826;2019;110  ;Anz. separate Wohnräume;  ;110;3;Heckenweg;10;7000;Chur
;001 740 074;2760573;1191990;1961;113  ;Anz. separate Wohnräume;  ;113;2;Plantaweg;14;7000;Chur
5332;001 740 060;2760575;1191904;1967;132  ;Anz. separate Wohnräume;  ;132;1;Plantaweg;2;7000;Chur
6657;001 740 706;2759719;1192108;1989;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;252;4;Saluferstrasse;12;7000;Chur
1452;001 738 865;2759283;1190804;1959;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;386;4;Obere Plessurstrasse;29;7000;Chur
4292;001 741 418;2758295;1191625;1949;89  ;Anz. separate Wohnräume;  ;89;2;Untere Plessurstrasse;116;7000;Chur
2956;001 738 695;2759720;1190988;1900;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;146;4;Storchengasse;11;7000;Chur
4096;160 004 457;2758293;1191065;2004;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;269;3;Pizokelweg;9;7000;Chur
10032;001 741 430;2758288;1191734;1956;49  ;Anz. separate Wohnräume;  ;49;2;Föhrenweg;3;7000;Chur
3744;001 741 356;2758422;1191673;1930;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;120;3;Fortunastrasse;28;7000;Chur
4680;001 740 048;2760492;1191979;1957;124  ;Anz. separate Wohnräume;  ;124;2;Brändligasse;24;7000;Chur
6504;001 741 342;2759425;1191769;1986;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;221;5;Wiesentalstrasse;35;7000;Chur
1450;001 738 859;2759335;1190775;1894;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;113;4;Obere Plessurstrasse;17;7000;Chur
10842;160 004 443;2759798;1193848;2004;86  ;Anz. separate Wohnräume;  ;86;2;Dammweg;10;7000;Chur
3006;001 738 681;2759679;1190726;1900;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen 177; ;6;Poststrasse;41;7000;Chur
4996;001 741 424;2758421;1191792;1965;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;356;2;Enzianweg;5;7000;Chur
10605;190 017 488;2760206;1190477;2003;105  ;Anz. separate Wohnräume;  ;105;2;Alte Schanfiggerstrasse;26;7000;Chur
6505;001 741 343;2759442;1191776;1986;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;221;6;Wiesentalstrasse;37;7000;Chur
4246;001 741 425;2758442;1191811;1947;144  ;Anz. separate Wohnräume;  ;144;3;Enzianweg;6;7000;Chur
10843;160 004 442;2759797;1193838;2004;135  ;Anz. separate Wohnräume;  ;135;2;Dammweg;8;7000;Chur
3150;001 738 680;2759659;1190731;1890;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;110;4;Poststrasse;40;7000;Chur
10850;190 062 771;2759761;1193863;2004;135  ;Anz. separate Wohnräume;  ;135;2;Dammweg;82;7000;Chur
1449;001 738 858;2759347;1190762;1900;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;217;3;Obere Plessurstrasse;11;7000;Chur
10033;001 741 431;2758280;1191751;1956;49  ;Anz. separate Wohnräume;  ;49;2;Föhrenweg;5;7000;Chur
2929;001 738 694;2759698;1190959;1880;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;277 1;Gebäude mit zwei Wohnungen;3;Storchengasse;8;7000;Chur
;160 004 456;2760019;1191913;2004;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;195;3;Loëstrasse;83;7000;Chur
10336;190 062 765;2759769;1194011;2004;135  ;Anz. separate Wohnräume;  ;135;2;Dammweg;136;7000;Chur
