Grundstueck-Nummer;EGID;Gebaeude-Koordinate X;Gebaeude-Koordinate Y;Gebaeude-Baujahr;Gebaeude-Kategorie;Gebaeude-Klasse-Nummer;Gebaeude-Klasse;Gebaeude-Flaeche;Gebaeude-Geschosse;Gebaeude-Strasse;Gebaeude-Hausnummer;Gebaeude-PLZ;Gebaeude-Ort
3456;001 740 167;2759912;1191652;1927;236  ;Anz. separate Wohnräume;  ;236;4;Wingertweg;3;7000;Chur
7033;001 741 251;2758590;1191446;1942;64  ;Anz. separate Wohnräume;  ;64;3;Allemannweg;6;7000;Chur
7003;191 415 253;2760433;1193328;1960;Sonstige Hochbauten, anderweitig  nicht genannt;1274;nicht genannt 136; ;1;Waisenhausstrasse;20;7000;Chur
5549;009 001 218;2757627;1191226;1973;1804  ;Anz. separate Wohnräume;  ;1804;2;Rossbodenstrasse;24;7000;Chur
4530;001 740 629;2760817;1192249;1895;99 1;Anz. separate Wohnräume;1 ;99;3;Bondastrasse;130;7000;Chur
5142;001 741 537;2758091;1192001;1965;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;218;4;Barblanstrasse;29;7000;Chur
;001 738 792;2759596;1191370;1907;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;131  ;Gebäude mit zwei Wohnungen;3;Alexanderstrasse;28;7000;Chur
1290;001 741 523;2758280;1192070;1906;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;115;2;Rheinstrasse;167;7000;Chur
1548;001 738 786;2759772;1191537;1909;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;212;3;Rigastrasse;19;7000;Chur
3684;001 741 245;2758482;1191419;1933;94 1;Anz. separate Wohnräume;1 ;94;2;Untere Plessurstrasse;92;7000;Chur
1826;001 739 315;2758281;1190479;1908;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;242  ;Gebäude mit zwei Wohnungen;3;Kasernenstrasse;140;7000;Chur
7246;009 021 651;2758355;1190306;1997;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;455;6;Pargherastrasse;39;7000;Chur
20250;001 210 564;2762219;1189627; ;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;   ;Gebäude mit zwei Wohnungen;2;Schwiirainweg;20;7026;Maladers
1863;001 739 473;2758244;1190975;1973;429 1;Anz. separate Wohnräume;1 ;429;7;Ringstrasse;18;7000;Chur
1869;191 204 844;2758426;1191181;2016;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen; ;5;Pulvermühlestrasse;18;7000;Chur
20696;001 210 570;2761860;1189440; ;   ;Anz. separate Wohnräume;  ; ;2;Winkel;16;7026;Maladers
3258;001 738 779;2759685;1191493;1922;95 2;Anz. separate Wohnräume;2 ;95;3;Rigastrasse;6;7000;Chur
1869;191 204 850;2758410;1191193;2016;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen  ; ;5;Pulvermühlestrasse;20;7000;Chur
7306;009 021 645;2760107;1191874;1996;88  ;Anz. separate Wohnräume;  ;88;3;Meierweg;57;7000;Chur
4500;001 739 301;2758367;1190388;1986;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;304;5;Freifeldstrasse;21;7000;Chur
1736;001 739 329;2759120;1190764;1974;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen 452; ;6;Sägenstrasse;74;7000;Chur
4373;001 741 292;2759149;1191869;1950;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;334;3;Ringstrasse;128;7000;Chur
20652;001 210 558;2761913;1189546; ;   ;Anz. separate Wohnräume;  ; ;2;Oberdorfstrasse;31a;7026;Maladers
11886;190 192 553;2760541;1192365;2008;123  ;Anz. separate Wohnräume;  ;123;3;Fondeiweg;1;7000;Chur
2658;001 738 989;2760339;1190127;1870;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;277;3;Kupferschmiedeweg;25;7000;Chur
11303;160 016 197;2759490;1191463;2009;1258  ;Anz. separate Wohnräume;  ;1258;4;Gürtelstrasse;58;7000;Chur
8922;160 016 183;2757911;1191420;2009;1025  ;Anz. separate Wohnräume;  ;1025;2;Industriestrasse;1a;7000;Chur
3499;001 738 745;2759552;1191252;1962;641  ;Anz. separate Wohnräume;  ;641;7;Ottostrasse;6;7000;Chur
3461;001 740 826;2759470;1191533;1900;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;49;4;Gürtelstrasse;67;7000;Chur
;001 740 198;2759854;1191767;1910;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;117 3;Gebäude mit zwei Wohnungen;3;Sonnenbergstrasse;6;7000;Chur
4776;001 741 286;2758867;1191740;1958;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;437;3;Ringstrasse;104;7000;Chur
8934;011 526 735;2758126;1191315;1957;85  ;Anz. separate Wohnräume;  ;85;1;Pulvermühlestrasse;64;7000;Chur
;009 021 660;2760054;1191925;1996;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;229;3;Loëstrasse;92;7000;Chur
3382;001 740 181;2759977;1191767;1921;68 1;Anz. separate Wohnräume;1 ;68;3;Florastrasse;16;7000;Chur
4109;001 739 324;2759195;1190642;1890;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;493;3;Sägenstrasse;47;7000;Chur
4115;001 739 442;2758294;1191114;1946;92 2;Anz. separate Wohnräume;2 ;92;2;Pizokelweg;4;7000;Chur
12885;001 738 984;2760077;1192511;1972;331 4;Anz. separate Wohnräume;4 1;331;Druckdatum:;Loëstrasse;165;7000;Chur
0;001 210 555;2761862;1189524; ;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;   ;Gebäude mit zwei Wohnungen;3;Ober Quadera;1210555;7026;Maladers
1868;001 739 456;2758291;1191206;1946;92  ;Anz. separate Wohnräume;  ;92;1;Grischunaweg;5;7000;Chur
3323;001 738 990;2760366;1190117;1900;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;99;4;Kupferschmiedeweg;31;7000;Chur
20769;001 210 541;2761774;1189488; ;   ;Anz. separate Wohnräume;  ; ;2;Schloss;17;7026;Maladers
6039;001 740 195;2759832;1191787;1973;96  ;Anz. separate Wohnräume;  ;96;2;Sonnenbergstrasse;1;7000;Chur
1736;001 739 330;2759150;1190802;1974;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;452;6;Sägenstrasse;76;7000;Chur
1846;001 739 318;2757699;1190421;1969;   ;Anz. separate Wohnräume;  ; ;2;Emserstrasse;4;7000;Chur
2762;191 559 915;2759858;1193071;2018;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;270;3;Sattelweg;11;7000;Chur
1869;191 204 849;2758364;1191149;2017;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen; ;5;Pulvermühlestrasse;30;7000;Chur
20666;001 210 569;2761865;1189464; ;  0;Anz. separate Wohnräume;0 ; ;3;Hinder der Chilcha;5;7026;Maladers
4047;001 738 760;2759772;1191338;1959;625  ;Anz. separate Wohnräume;  ;625;2;Brandisstrasse;12;7000;Chur
1661;001 740 803;2759383;1191661;1911;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;123;4;Calandastrasse;32;7000;Chur
4682;001 740 817;2759285;1191856;1957;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;212;4;Calandastrasse;59;7000;Chur
3379;009 021 648;2760011;1191727;1996;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;100  ;Gebäude mit zwei Wohnungen;3;Florastrasse;3;7000;Chur
5107;001 740 142;2760301;1192732;1964;125  ;Anz. separate Wohnräume;  ;125;1;Prätschliweg;8;7000;Chur
20151;001 210 596;2761666;1189188; ;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen; ;4;Arosastrasse;41;7026;Maladers
2438;001 739 481;2758703;1190494;1985;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;2498;7;Kasernenstrasse;95;7000;Chur
6453;001 740 624;2760788;1192173;1985;110  ;Anz. separate Wohnräume;  ;110;3;Bondastrasse;118;7000;Chur
;001 738 947;2759810;1191597;1930;Krankenhäuser und  Facheinrichtungen des ;1264;Facheinrichtungen des  Gesundheitswesens;238;4;Masanserstrasse;57;7000;Chur
20692;001 210 582;2761810;1189400; ;   ;Anz. separate Wohnräume;  ; ;3;Dorfstrasse;20;7026;Maladers
2370;001 739 495;2757979;1189953;1972;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;130  ;Gebäude mit zwei Wohnungen;2;Foralweg;67;7000;Chur
4972;001 738 953;2760057;1193453;1965;360 5;Anz. separate Wohnräume;5  ;360;Druckdatum:;Cadonaustrasse;75;7000;Chur
;001 740 630;2760820;1192268;1902;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;79  ;Gebäude mit zwei Wohnungen;3;Bondastrasse;132;7000;Chur
8978;009 001 201;2758155;1191321;1964;361  ;Anz. separate Wohnräume;  ;361;2;Ringstrasse;29;7000;Chur
;001 740 156;2759891;1191572;1963;Schul- und Hochschulgebäude,  Forschungseinrichtungen;1263;Forschungseinrichtungen Anz. Geschosse;1341; ;Splügenstrasse;4;7000;Chur
7034;001 741 248;2758619;1191423;1942;64  ;Anz. separate Wohnräume;  ;64;2;Allemannweg;3;7000;Chur
